rna_well	side	det_well
A01	L	A01,A13
A02	L	A02,A14
A03	L	A03,A15
A04	L	A04,A16
A05	L	A05,A17
A06	L	A06,A18
A07	L	A07,A19
A08	L	A08,A20
A09	L	A09,A21
A10	L	A10,A22
A11	L	A11,A23
A12	L	A12,A24
B01	L	B01,B13
B02	L	B02,B14
B03	L	B03,B15
B04	L	B04,B16
B05	L	B05,B17
B06	L	B06,B18
B07	L	B07,B19
B08	L	B08,B20
B09	L	B09,B21
B10	L	B10,B22
B11	L	B11,B23
B12	L	B12,B24
C01	L	C01,C13
C02	L	C02,C14
C03	L	C03,C15
C04	L	C04,C16
C05	L	C05,C17
C06	L	C06,C18
C07	L	C07,C19
C08	L	C08,C20
C09	L	C09,C21
C10	L	C10,C22
C11	L	C11,C23
C12	L	C12,C24
D01	L	D01,D13
D02	L	D02,D14
D03	L	D03,D15
D04	L	D04,D16
D05	L	D05,D17
D06	L	D06,D18
D07	L	D07,D19
D08	L	D08,D20
D09	L	D09,D21
D10	L	D10,D22
D11	L	D11,D23
D12	L	D12,D24
E01	L	E01,E13
E02	L	E02,E14
E03	L	E03,E15
E04	L	E04,E16
E05	L	E05,E17
E06	L	E06,E18
E07	L	E07,E19
E08	L	E08,E20
E09	L	E09,E21
E10	L	E10,E22
E11	L	E11,E23
E12	L	E12,E24
F01	L	F01,F13
F02	L	F02,F14
F03	L	F03,F15
F04	L	F04,F16
F05	L	F05,F17
F06	L	F06,F18
F07	L	F07,F19
F08	L	F08,F20
F09	L	F09,F21
F10	L	F10,F22
F11	L	F11,F23
F12	L	F12,F24
G01	L	G01,G13
G02	L	G02,G14
G03	L	G03,G15
G04	L	G04,G16
G05	L	G05,G17
G06	L	G06,G18
G07	L	G07,G19
G08	L	G08,G20
G09	L	G09,G21
G10	L	G10,G22
G11	L	G11,G23
G12	L	G12,G24
H01	L	H01,H13
H02	L	H02,H14
H03	L	H03,H15
H04	L	H04,H16
H05	L	H05,H17
H06	L	H06,H18
H07	L	H07,H19
H08	L	H08,H20
H09	L	H09,H21
H10	L	H10,H22
H11	L	H11,H23
H12	L	H12,H24
I01	L	I01,I13
I02	L	I02,I14
I03	L	I03,I15
I04	L	I04,I16
I05	L	I05,I17
I06	L	I06,I18
I07	L	I07,I19
I08	L	I08,I20
I09	L	I09,I21
I10	L	I10,I22
I11	L	I11,I23
I12	L	I12,I24
J01	L	J01,J13
J02	L	J02,J14
J03	L	J03,J15
J04	L	J04,J16
J05	L	J05,J17
J06	L	J06,J18
J07	L	J07,J19
J08	L	J08,J20
J09	L	J09,J21
J10	L	J10,J22
J11	L	J11,J23
J12	L	J12,J24
K01	L	K01,K13
K02	L	K02,K14
K03	L	K03,K15
K04	L	K04,K16
K05	L	K05,K17
K06	L	K06,K18
K07	L	K07,K19
K08	L	K08,K20
K09	L	K09,K21
K10	L	K10,K22
K11	L	K11,K23
K12	L	K12,K24
L01	L	L01,L13
L02	L	L02,L14
L03	L	L03,L15
L04	L	L04,L16
L05	L	L05,L17
L06	L	L06,L18
L07	L	L07,L19
L08	L	L08,L20
